,A,B,C,D,E,F,G,H,I,J,K
A,4,0,0,0,0,0,0,0,0,0,0
B,0,14,0,1,0,0,0,0,0,0,0
C,1,0,1,0,0,0,0,0,0,0,0
D,0,0,0,9,0,0,0,0,0,0,0
E,0,0,0,2,6,3,1,0,1,0,0
F,0,0,0,0,0,0,0,0,0,0,0
G,0,0,0,0,1,0,7,0,1,0,0
H,0,0,0,0,0,0,0,21,0,7,5
I,0,0,0,0,0,0,2,0,1,0,0
J,0,0,0,0,0,0,0,11,0,10,2
K,0,0,0,0,0,0,0,1,0,1,33
