,A,B,C,D,E,F,G,H,I,J,K
A,4,0,0,0,0,0,0,0,0,0,0
B,0,15,0,0,0,0,0,0,0,0,0
C,1,0,1,0,0,0,0,0,0,0,0
D,0,0,0,8,1,0,0,0,0,0,0
E,0,0,0,2,7,2,1,0,1,0,0
F,0,0,0,0,0,0,0,0,0,0,0
G,0,0,0,0,0,0,8,0,1,0,0
H,0,0,0,0,0,0,0,24,0,4,5
I,0,0,0,0,0,0,1,0,2,0,0
J,0,0,0,0,0,0,0,9,0,12,2
K,0,0,0,0,0,0,0,1,0,1,33
