,A,B,C,D,E,F,G,H,I,J,K
A,4,0,0,0,0,0,0,0,0,0,0
B,0,14,0,1,0,0,0,0,0,0,0
C,0,0,2,0,0,0,0,0,0,0,0
D,0,1,0,8,0,0,0,0,0,0,0
E,0,0,0,2,5,6,0,0,0,0,0
F,0,0,0,0,0,0,0,0,0,0,0
G,0,0,0,0,0,0,8,0,1,0,0
H,0,0,0,0,0,0,0,22,2,4,5
I,0,0,0,0,0,0,2,0,1,0,0
J,0,0,0,0,0,0,0,10,2,9,2
K,0,0,0,0,0,0,0,1,0,1,33
