type,n,mean,std
A,26,59.18,10.871462827053225
C,26,68.575,9.188302237083843
B,104,75.09528846153846,7.748468054882558
D,104,76.54711538461538,7.315159107173
E,104,77.47057692307692,7.034444772415322
F,26,77.71461538461539,7.748113179746011
G,104,78.99278846153847,7.021535867272882
I,26,79.64192307692308,7.111834092120414
J,208,81.15605769230768,6.414428018037765
H,312,81.37128205128205,6.1839332032545
K,416,81.82913461538462,6.1484326317865925
