,A,B,C,D,E,F,G,H,I,J,K
A,4,0,0,0,0,0,0,0,0,0,0
B,0,14,0,1,0,0,0,0,0,0,0
C,0,0,2,0,0,0,0,0,0,0,0
D,0,0,0,9,0,0,0,0,0,0,0
E,0,0,0,2,7,4,0,0,0,0,0
F,0,0,0,0,0,0,0,0,0,0,0
G,0,0,0,0,0,0,9,0,0,0,0
H,0,0,0,0,0,0,0,22,0,6,5
I,0,0,0,0,0,0,0,0,3,0,0
J,0,0,0,0,0,0,0,10,0,11,2
K,0,0,0,0,0,0,0,1,0,1,33
