,A,B,C,D,E,F,G,H,I,J,K
A,4,0,0,0,0,0,0,0,0,0,0
B,0,13,0,2,0,0,0,0,0,0,0
C,0,0,2,0,0,0,0,0,0,0,0
D,0,0,0,9,0,0,0,0,0,0,0
E,0,0,0,3,5,5,0,0,0,0,0
F,0,0,0,0,0,0,0,0,0,0,0
G,0,0,0,0,0,0,9,0,0,0,0
H,0,0,0,0,0,0,0,24,2,2,5
I,0,0,0,0,0,0,2,0,1,0,0
J,0,0,0,0,0,0,0,12,2,7,2
K,0,0,0,0,0,0,0,1,0,1,33
